id	name
0	장검
1	도끼
2	등잔
3	양손검
4	아데나
5	청소부
6	괴물 눈
7	해골
8	슬라임
9	무장
10	켜짐
11	기름 없음
12	요정족 단검
13	오크족 단검
14	아탐
15	스칼펠
16	일본도
17	싸울아비 장검
18	늑대인간
19	장로
20	철퇴
21	문
22	시체
23	고기
24	활
25	창
26	체력 회복제
27	단풍나무 막대
28	소나무 막대
29	오우크 막대
30	`젤고 머' 주문서
31	`쥬드 오크 야크' 주문서
32	`엔알 9' 주문서
33	`지자자 조자자 주자자' 주문서
34	`프라탸바야' 주문서
35	`데이엔 푸엘스' 주문서
36	`렙 게스 벤 제아' 주문서
37	`프리루체니' 주문서
38	`엘빕 일로' 주문서
39	`베르 예드 호레' 주문서
40	`벤자르 보르가브' 주문서
41	`타르' 주문서
42	`윰 윰' 주문서
43	`케르노드 웰' 주문서
44	`엘람 에보우' 주문서
45	`두암 스나트' 주문서
46	`안도바 베가린' 주문서
47	`베 포르브리데르네' 주문서
48	`핵켐 무쉬' 주문서
49	`벨록스 넵' 주문서
50	`푸비 블렛치' 주문서
51	`테모브' 주문서
52	`가르벤 더' 주문서
53	`리드 미' 주문서
54	`키르제' 주문서
55	확인 주문서
56	돌 골렘
57	좀비
58	난쟁이
59	오크
60	전투 도끼
61	화살
62	바르디쉐
63	빌귀사름
64	요정족 활
65	오크족 활
66	넓은 검
67	양초
68	당근
69	몽둥이
70	단검
71	벡드코빈
72	달걀
73	포챠드
74	도리깨
75	넓은 창
76	귀사름
77	미늘창
78	뿔나팔
79	투창
80	열쇠
81	기병창
82	레몬
83	루선해머
84	모닝스타
85	오렌지
86	팬케익
87	파르티잔
88	지팡이
89	란서
90	반지
91	룬스워드
92	언월도
93	은 화살
94	난쟁이족 도끼
95	요정족 창
96	오크족 창
97	난쟁이족 검
98	요정족 검
99	오크족 검
100	짧은 검
101	양날 단검
102	삼지창
103	유니콘 뿔
104	불지
105	장궁
106	사과
107	바나나
108	행운 과자
109	크림 파이
110	엘븐 와퍼
111	워해머
112	군터의 집
113	게렝의 집
114	통나무 집
115	마을
116	가죽 갑옷
117	착용
118	요정족 가죽 투구
119	가죽 모자
120	오크족 투구
121	철 해골 모자
122	난쟁이족 철 투구
123	딱딱한 모자
124	중절모
125	고깔
126	고깔
127	찌그러진 냄비
128	투구
129	깃털 투구
130	광휘의 투구
131	에칭된 투구
132	반대 성향의 투구
133	새깃 장식 투구
134	정신감응 투구
135	복면 투구
136	회색룡 비늘 갑옷
137	화룡 비늘 갑옷
138	풍룡 비늘 갑옷
139	주황룡 비늘 갑옷
140	흑룡 비늘 갑옷
141	수룡 비늘 갑옷
142	지룡 비늘 갑옷
143	황룡 비늘 갑옷
144	회색룡 비늘
145	화룡 비늘
146	풍룡 비늘
147	주황룡 비늘
148	흑룡 비늘
149	수룡 비늘
150	지룡 비늘
151	황룡 비늘
152	판금 갑옷
153	수정 갑옷
154	청동 판금 갑옷
155	미늘 갑옷
156	띠 갑옷
157	난쟁이족 미쓰릴 코트
158	요정족 미쓰릴 코트
159	사슬 갑옷
160	오크족 사슬 갑옷
161	조악한 사슬 갑옷
162	비늘 갑옷
163	징박힌 가죽 갑옷
164	고리 갑옷
165	오크족 고리 갑옷
166	조악한 고리 갑옷
167	가죽 재킷
168	티셔츠
169	미이라 붕대
170	요정족 망토
171	빛바랜 망토
172	오크족 망토
173	조잡한 망토
174	난쟁이족 망토
175	모자달린 망토
176	기름 망토
177	미끄러운 망토
178	보호 망토
179	누더기 망토
180	투명 망토
181	오페라 망토
182	마법 망토
183	장식 망토
184	치환 망토
185	천 조각
186	작은 방패
187	요정족 방패
188	청록 방패
189	우럭하이 방패
190	흰손잡이 방패
191	오크족 방패
192	붉은 눈 방패
193	큰 방패
194	난쟁이족 둥근 방패
195	큰 둥근 방패
196	반사 방패
197	반짝이는 은 방패
198	가죽 장갑
199	낡은 장갑
200	실수 장갑
201	덧댄 장갑
202	힘 장갑
203	승마 장갑
204	민첩 장갑
205	펜싱 장갑
206	짧은 장화
207	걷기용 신
208	철 신
209	딱딱한 신
210	긴 장화
211	기병용 군화
212	쾌속 장화
213	전투화
214	물위 걷기 장화
215	정글 장화
216	점프 장화
217	하이킹 장화
218	요정족 장화
219	진흙 장화
220	실수 장화
221	승마용 장화
222	부양 장화
223	눈 장화
224	셔츠
225	망토
226	갑옷
227	축복받은
228	저주받은
229	소원 막대
230	순간이동 주문서
231	남은 연료
232	파란 물약
233	비취 물약
234	초록 물약
235	주홍 물약
236	보라 물약
237	빨간 물약
238	맑은 물약
239	불투명 물약
240	경비병
241	순간이동 조종 반지
242	눈멀기 물약
243	저주 풀기 주문서
244	무기 마법 주문서
245	파랗게
246	검게
247	한 순간
248	잠시
249	갑옷 마법 주문서
250	진동합니다
251	빛납니다
252	은색으로
253	강렬하게
254	갑옷 파괴 주문서
255	고급 체력 회복제
256	개구리
257	부활 주문서
258	괴물 생성 막대
259	결투장
260	변신 막대
261	변신 조종 반지
262	번개 소환 막대
263	흑단 막대
264	속도향상 물약
265	셸로브
266	오크 전사
267	오크 궁수
268	늑대
269	   \f:[잡화상]
270	군터
271	독수리
272	흑기사
273	흑기사 대장
274	커츠
275	이곳이 '말하는 섬'인가
276	'붉은 기사의 집' 출신의 기사에게서 알아낸 것이니 틀림 없을겁니다.
277	이곳에 폐하께 반기를 들 기회를 노리고 있는 자들이 있다는 정보도 틀림 없는 것 같습니다.
278	...하지만 폐하께서도 너무 신경쓰시는 것이 아닌가. 아무리 듀크 데필의 자식이라고는 하지만 애송이 한 놈이 뭘 할 수 있다고...
279	입을 조심하라. 스스로 폐하에 결정에 대해 토를 달 수 있는 신분이라 생각하는가.
280	주...죽을 죄를 지었습니다!
281	...자, 일단 섬을 한번 돌아보기로 하자. 내 말해두지만 함부로 아무에게나 칼을 대지 말도록 하라.
282	예!
283	일단 섬 주민들과 접촉해서 그럴 듯한 녀석을 색출해 보는 것이 빠를 것 같습니다.
284	...그것보다는 우선 군터를 찾아가서 물어보는게 낫지 않을까요?
285	군터는 폐하께 큰 반감을 가지고 있는 자인데 우리에게 협력 하겠나?
286	...이렇게 된 바에야 이 섬에 사는 놈들을 군터도 포함해서 싸그리 죽이고 돌아가는게 어떨까요? 그게 후환도 없고...
287	...내 이전에 말하지 않았는가, 입을 조심하라고. 무고한 자의 피를 흘리는 자는 그 10배를 값아야 할 것이야.
288	...문제는 역시 우리가 찾는 인물이 실제로 이곳에서 두각을 나타내고 있느냐 아니냐인데...
289	...아니, 그 반대다. 두각을 나타내는 녀석이야말로 폐하께 반기를 들 위험한 놈일 수 있는 것이다. 자, 경계를 게을리 말고 주위를 살피라!
290	예!
291	탐색의 보고를.
292	예! 현재로써는 특별히 수상한 녀석은 보이지 않습니다.
293	하지만...이 섬에 있는 사람들은 전체적으로 폐하께 대한 반발 의식이 있는 것 같았습니다.
294	실제로 순찰중 습격을 당할 뻔 한적도 있었습니다.
295	'특별히' 수상한 자는 발견하지 못했지만, 바꾸어 말하면 이 섬에 있는 사람들은 전부 어딘가 '조금씩' 수상합니다.
296	흐~음. 결국 이 섬에 대한 경계를 늦출 수 없다는 이야기인가...
297	좋아, 일단 오늘은 이것으로 귀환하기로 한다. 전원 철수!
298	예!
299	이 건방진 것들이 어디서...!
300	...한번 보고 상대방의 실력을 파악하지 못하다니, 불쌍한 자들...
301	커헉!
302	...훗, 나를 죽여도...소용 없다...이미 이곳에 반역자들이 있다는 보고는 폐하께 들어가 있어......곧 또다른 토벌대가 올 것이다...
303	수련장
304	   \f:[오크 상인]
305	지하수련장
306	바포메트
307	금빛 열쇠
308	은회색 열쇠
309	   \f:[창고지기]
310	합계:
311	셸로브 발톱
312	붉은 기사의 망토
313	붉은 기사의 검
314	글루디오 영지행 배표
315	말하는 섬행 배표
316	해독제
317	구울
318	스파토이
319	웅골리언트
320	   \f:[선착장 관리인]
321	...모든 죽은 자들의 주인...
322	...그랑 카인에게...영광...있으라...
323	...그랑 카인이여...반왕 켄 라우헬에게도 죽음을...
324	그루먼
325	버그베어
326	랜턴
327	랜턴용 기름
328	강력 체력 회복제
329	부츠
330	장갑
331	네크로맨서
332	   \f:[무기 방어구 상인]
333	   \f:[잡화상]
334	   \f:[창고지기]
335	발터자르
336	카스파
337	메르키오르
338	세마
339	어디 숨었는가,오림! 이 배신자여!
340	너는 우리로부터 끝까지 숨을 수는 없으리라!
341	어서 나와 위대한 마력의 소유자에게 용서를 빌라!
342	그는 관대하시니 너를 용서하실 것이라...빨리 나오지 못하겠는가!
343	슬라임 레이스 표
344	캐논 보이
345	레이디 호크
346	라이트닝
347	가디안
348	이븐스타
349	슈퍼블랙
350	마키아벨리
351	마이베이비
352	슈팅스타
353	뷸렛
354	엘븐 애로우
355	사이하
356	호크윈드
357	팰컨
358	펌블
359	젤리피쉬
360	켄트성
361	슬라임 레이스장
362	글루딘 마을
363	출발 준비!
364	시작!
365	아만
366	회 게임의 우승자는
367	입니다!
368	좋음
369	보통
370	나쁨
371	데스나이트
372	크로우
373	고라
374	   \f:[마법 전수자]
375	제
376	경기 시작
377	분전!
378	가버너
379	영이글
380	세인트라이트
381	글루디아
382	가버너&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;
383	영이글&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;
384	세인트라이트
385	글루디아&nbsp;&nbsp;&nbsp;&nbsp;
386	캐논 보이&nbsp;&nbsp;&nbsp;
387	레이디 호크&nbsp;
388	라이트닝&nbsp;&nbsp;&nbsp;&nbsp;
389	가디안&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;
390	이븐스타&nbsp;&nbsp;&nbsp;&nbsp;
391	슈퍼블랙&nbsp;&nbsp;&nbsp;&nbsp;
392	마키아벨리&nbsp;&nbsp;
393	마이베이비&nbsp;&nbsp;
394	슈팅스타&nbsp;&nbsp;&nbsp;&nbsp;
395	뷸렛&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;
396	엘븐 애로우&nbsp;
397	사이하&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;
398	호크윈드&nbsp;&nbsp;&nbsp;&nbsp;
399	팰컨&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;
400	펌블&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;
401	젤리피쉬&nbsp;&nbsp;&nbsp;&nbsp;
402	의 배당율은
403	마후
404	모든 살아있는 자들에게 죽음을!!
405	크로울링 크로
406	오림
407	파아그리오의 대검
408	파아그리오의 장창
409	사이하의 투구
410	사이하의 신발
411	클레모어
412	대형 도끼
413	면류관
414	기사의 면갑
415	그라디우스
416	악운의 단검
417	doom blade
418	광전사의 도끼
419	에바의 방패
420	에바의 비늘갑옷
421	에바의 눈물
422	파아그리오의 날개
423	사이하의 은총
424	성기사의 검
425	성기사의 갑옷
426	파괴의 도끼
427	증오의 갑주
428	포르세의 검
429	사각 방패
430	게일
431	사이하의 반지
432	   \f:[시종장]
433	켄트 백작
434	은 완전히 부서져 있습니다.
435	이 거의 부서져 갑니다.
436	의 이곳 저곳에 큰 구멍이 났습니다.
437	에 작은 구멍이 나기 시작했습니다.
438	에 약간의 금이 가있습니다.
439	은 건재합니다.
440	외성문
441	내성문
442	은 닫혀 있습니다.
443	은 열려 있습니다.
444	세금
